numero_expediente,estado_seleccionado,usuario,sistema
EX-2018-25069913- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-23414053- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09436640- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09428206- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10146557- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25182066- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24781857- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24782325- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24782098- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-22832894- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-30762175- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25238028- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-31530716- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-15568957- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24782420- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-19258378- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09418148- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-23320159- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25401891- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10151123- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-17867488- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25397081- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-13064967- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-12808028- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-11108483- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-08988321- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24782085- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-19091103- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25401995- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10151029- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24975926- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-20585507- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-13870457- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-15505909- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25243146- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25186403- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25400062- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09446246- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-16334281- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-15484414- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-23304520- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09422911- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25185641- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24781920- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25184735- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25240974- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25238807- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-12201492- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25401980- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10145122- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-08983415- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24769469- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915441- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-13870454- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25388327- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25237324- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-13060935- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915202- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-29546759- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-23300852- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-31756783- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24781526- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09430774- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25188256- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24770326- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915316- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915265- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25402038- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-14884737- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24981334- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25186576- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24782281- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24982532- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-15504428- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09418882- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24781816- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10151128- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-08988023- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-30485919- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25396517- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25185084- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-08987007- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-14301656- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-20586127- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24781671- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25397472- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25171186- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24977863- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10151061- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25239343- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-19241396- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-15913525- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24781801- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09655298- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10145094- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25399987- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915456- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915437- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25071473- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-23331736- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09418875- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-23171766- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24401119- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25187429- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24779411- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-09915433- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25182355- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-29421061- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25402159- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-18485579- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-15505603- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-15571289- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24781625- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25402979- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-16334384- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25187468- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25187785- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-31896417- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-09418459- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10151079- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-18392978- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2019-20022276- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-22284175- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10152365- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25404768- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-15509744- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10152377- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10150399- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25238439- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25396074- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-24770694- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-10151004- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
EX-2018-25828914- -GDEBA-SDRRDLP,Subsanación,TADCARATULADORRPP,TAD
